"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","PubMed ID","Document Type","Publication Stage","Open Access","Source","EID"
"Johnson K.B.; Alasaly B.; Jang K.J.; Eaton E.; Mopidevi S.; Koppel R.","Johnson, Kevin B. (8744561900); Alasaly, Basam (59330425800); Jang, Kuk Jin (57040489300); Eaton, Eric (12445029500); Mopidevi, Sriharsha (59330425900); Koppel, Ross (9279794500)","8744561900; 59330425800; 57040489300; 12445029500; 59330425900; 9279794500","Observer: creation of a novel multimodal dataset for outpatient care research","2026","Journal of the American Medical Informatics Association","33","2","","424","433","0","10.1093/jamia/ocaf182","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105028581575&doi=10.1093%2Fjamia%2Focaf182&partnerID=40&md5=f8bfbe21415642c7ae2cd25a5c42fdab","Objective To support ambulatory care innovation, we created Observer, a multimodal dataset comprising videotaped outpatient visits, electronic health record (EHR) data, and structured surveys. This paper describes the data collection procedures and summarizes the clinical and contextual features of the dataset. Materials and Methods A multistakeholder steering group shaped recruitment strategies, survey design, and privacy-preserving design. Consented patients and primary care providers (PCPs) were recorded using room-view and egocentric cameras. EHR data, metadata, and audit logs were also captured. A custom de-identification pipeline, combining transcript redaction, voice masking, and facial blurring, ensured video and EHR HIPAA compliance. Results We report on the first 100 visits in this continually growing dataset. Thirteen PCPs from 4 clinics participated. Recording the first 100 visits required approaching 210 patients, from which 129 consented (61%), with 29 patients missing their scheduled encounter after consenting. Visit lengths ranged from 5 to 100 minutes, covering preventive care to chronic disease management. Survey responses revealed high satisfaction: 4.24/5 (patients) and 3.94/5 (PCPs). Visit experience was unaffected by the presence of video recording technology. Discussion We demonstrate the feasibility of capturing rich, real-world primary care interactions using scalable, privacy-sensitive methods. Room layout and camera placement were key influences on recorded communication and are now added to the dataset. The Observer dataset enables future clinical AI research/development, communication studies, and informatics education among public and private user groups. Conclusion Observer is a new, shareable, real-world clinic encounter research and teaching resource with a representative sample of adult primary care data. © The Author(s) 2025. Published by Oxford University Press on behalf of the American Medical Informatics Association.","41144304","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105028581575"
"Armentano R.L.; Cymberknop L.J.; Kun L.","Armentano, Ricardo L. (7004140028); Cymberknop, Leandro J. (36717398200); Kun, Luis (7103113161)","7004140028; 36717398200; 7103113161","Democratizing Coronary Disease Risk Evaluation: Upholding Dr. Favaloro's Legacy With Affordable Remote Screening","2025","IEEE Journal of Biomedical and Health Informatics","29","3","","2310","2317","0","10.1109/JBHI.2024.3512940","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85212279249&doi=10.1109%2FJBHI.2024.3512940&partnerID=40&md5=11ba168fd5fbbe7057dc68caac161ede","This review examines the figure of Dr. René Favaloro, a pioneer in cardiovascular surgery and advocate for social justice, who devoted his life to making advanced medical care accessible to underserved communities. Despite the increasing incidence of coronary artery disease (CAD), particularly in Asian and Latin American countries, Favaloro envisioned a healthcare system where innovative technology benefits everyone. Building on his ideals, we explore the democratization of healthcare access through innovative tools for cardiovascular risk assessment, specifically Pulse Wave Velocity (PWV) and its association with Coronary Artery Calcium Score (CACs). PWV, a non-invasive and cost-effective method, shows promise as a practical screening tool for CAD, particularly when combined with Computational Intelligence (CI) and the Internet of Medical Things (IoMT). The integration of PWV into a Point-of-Care Testing (POCT) framework could enhance preventive care, especially in underserved populations. By aligning with Favaloro's vision of equitable healthcare, this approach seeks to support CAD screening and risk assessment in low-resource settings, aiming to overcome socio-economic barriers and improve access to preventive cardiac care. © 2013 IEEE.","40030429","Article","Final","","Scopus","2-s2.0-85212279249"
"Rivera Capacho E.E.; Bossa C.P.D.; Campos M.C.; Rincon-Yanez D.; Rangel-Navia H.; Bianchini E.M.G.","Rivera Capacho, Eliana Elizabeth (57204914775); Bossa, Claudia Patricia Diaz (60204757600); Campos, María del Carmen (60204748400); Rincon-Yanez, Diego (57205705016); Rangel-Navia, Heriberto (57204921608); Bianchini, Esther Mandelbaum Gonçalves (14059652100)","57204914775; 60204757600; 60204748400; 57205705016; 57204921608; 14059652100","Telemedicine-supported structured Orofacial Myofunctional Therapy model for Obstructive Sleep Apnea: Patients’ report outcomes measurements","2025","Respiratory Medicine","249","","108460","","","1","10.1016/j.rmed.2025.108460","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022420057&doi=10.1016%2Fj.rmed.2025.108460&partnerID=40&md5=a3a00c1d6e87aeb8b91b0446d45a99c5","Objective: To evaluate the clinical effectiveness and feasibility of the structured ST-OSA-PS-OMT model for adults with Obstructive Sleep Apnea and Primary Snoring, focusing on changes in excessive daytime sleepiness and patient-reported effectiveness within an AI-enhanced telemedicine framework. Materials and methods: : Retrospective observational cohort study from November 2021 to November 2022 with 87 adults with OSA and PS. They received OMT through the Smart Therapy for Obstructive Sleep Apnea and Primary Snoring with Orofacial Myofunctional Therapy (ST-OSA-PS-OMT) program. Demographic variables, clinical data, orofacial myofunctional examination, and satisfaction were evaluated using the Perception Scale of Effectiveness of Orofacial Myofunctional Therapy in Sleep-Disordered Breathing -Patient Reported Outcome Measures (EPE-TMO-TRS-PROMs), type 1 (83%)/type 3 (17%) polysomnography, and the Epworth Sleepiness Scale (ESS). Results: 87 patients with Sleep-Disordered Breathing (SDB) (mean age 49.71 ± 13,28 years, 60.9% female) received OMT. Improvement was observed in ESS (9.41 ± 5.65 to 7.26 ± 5.43). Snoring (28.7%), endocrine-metabolic comorbidities (50.6%), and cardiovascular comorbidities (36.8%) were prevalent. Erythematous palatine pillars (93.1%) and descended soft palate (90.8%) were found, with the latter showing a significant relationship ((Formula presented) (Formula presented) ). The majority rated OMT as effective. Descriptive analysis revealed that patients with psychiatric comorbidities tended to perceive treatment as more effective, while those with Class III malocclusion showed a tendency toward lower treatment favorability. Conclusion: The ST-OSA-PS-OMT model represents a viable and effective therapeutic approach for OSA/PS, as evidenced by significant ESS improvement and positive patient-reported outcomes. The AI-enhanced telemedicine framework establishes a foundation for therapeutic personalisation. Key anatomical findings, particularly the association between a descended velum and erythematous pillars, justify refined pre-treatment assessment protocols. Future research should focus on longitudinal studies and developing targeted intervention strategies for subgroups with less favourable responses, including those with Angle Class III malocclusion. © 2025 The Author(s). Published by Elsevier Ltd. This is an open access article under the CC BY-NC license. http://creativecommons.org/licenses/by-nc/4.0/","41176093","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105022420057"
"Vemuri A.; Decker K.; Saponaro M.; Dominick G.","Vemuri, Ajith (57222817411); Decker, Keith (7102752240); Saponaro, Mathew (55668423700); Dominick, Gregory (26641728600)","57222817411; 7102752240; 55668423700; 26641728600","Multi Agent Architecture for Automated Health Coaching","2021","Journal of Medical Systems","45","11","95","","","4","10.1007/s10916-021-01771-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115664951&doi=10.1007%2Fs10916-021-01771-2&partnerID=40&md5=18097af019cae3e02a303b100bceae7a","For software applications in health coaching domains to be effective, it is vital that they address issues of privacy, modularity, scalability, individualization, data integration, transferability, coordination and flexibility. In this paper, we propose a novel generic multi-agent architecture which serves as a template for health coaching applications involving wearable sensors. Analyzer and communication modules allow different functionalities like goal formation, planning, scheduling, event detection, learning, inter-agent + human communication and long-term data collection, based on the capabilities of the underlying sensor platforms. To show the flexibility of our proposed architecture, we have successfully built two different health coaching systems with the proposed architecture: (1) a static system based on the Fitbit platform where the coaching is done at specific preset times to encourage increased physical activity, and (2) a dynamic system based on the Apple Watch platform where the smart coach adapts and learns when to intervene to encourage physical activity and reduce sedentary behavior. © 2021, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.","34562163","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85115664951"
"Jin Y.; Pepe A.; Li J.; Gsaxner C.; Chen Y.; Puladi B.; Zhao F.-H.; Pomykala K.; Kleesiek J.; Frangi A.F.; Egger J.","Jin, Yuan (57220901313); Pepe, Antonio (57190872578); Li, Jianning (57218473641); Gsaxner, Christina (57202292092); Chen, Yuxuan (57200269692); Puladi, Behrus (57204724641); Zhao, Fen-Hua (57189684140); Pomykala, Kelsey (55037413200); Kleesiek, Jens (9743752700); Frangi, Alejandro F. (7005249248); Egger, Jan (23388906400)","57220901313; 57190872578; 57218473641; 57202292092; 57200269692; 57204724641; 57189684140; 55037413200; 9743752700; 7005249248; 23388906400","Aortic Vessel Tree Segmentation for Cardiovascular Diseases Treatment: Status Quo","2025","ACM Computing Surveys","57","9","","","","1","10.1145/3728632","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009270219&doi=10.1145%2F3728632&partnerID=40&md5=f9838496f34a1e164afa1a73821c4772","The aortic vessel tree, composed of the aorta and its branches, is crucial for blood supply to the body. Aortic diseases, such as aneurysms and dissections, can lead to life-threatening ruptures, often requiring open surgery. Therefore, patients commonly undergo treatment under constant monitoring, which requires regular inspections of the vessels through medical imaging techniques. Overlapping and comparing aortic vessel tree geometries from consecutive images allows for tracking changes in both the aorta and its branches. Manual reconstruction of the vessel tree is time-consuming and impractical in clinical settings. In contrast, automatic or semiautomatic segmentation algorithms can perform this task much faster, making them suitable for routine clinical use. This article systematically reviews methods for the automatic and semiautomatic segmentation of the aortic vessel tree, concluding with a discussion on their clinical applicability, the current research landscape, and ongoing challenges. © 2025 Copyright held by the owner/author(s).","","Article","Final","","Scopus","2-s2.0-105009270219"
"Marengo A.; Pagano A.; Santamato V.","Marengo, Agostino (24067691200); Pagano, Alessandro (57196796641); Santamato, Vito (58492740100)","24067691200; 57196796641; 58492740100","An efficient cardiovascular disease prediction model through AI-driven IoT technology","2024","Computers in Biology and Medicine","183","","109330","","","22","10.1016/j.compbiomed.2024.109330","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207645171&doi=10.1016%2Fj.compbiomed.2024.109330&partnerID=40&md5=5a063c3d23b7d759188f098cb21d1824","Conditions affecting the circulatory system and blood vessels are referred to as cardiovascular diseases that include strokes and heart attacks. Internet of Things (IoT) technologies monitor health metrics, identify irregularities and enable remote patient care, resulting in earlier intervention and more individualized therapy. This research aims to establish an efficient cardiovascular disease prediction model through Artificial intelligence (AI)-driven IoT technology. We propose a novel Shuffled Frog leaping-tuned Iterative Improved Adaptive Boosting (SF-IIAdaboost) algorithm for predicting cardiovascular disease with the implementation of IoT device data. IoT medical sensors and wearable devices will collect the patient's clinical data in our proposed framework. Z-score normalization is used to preprocess the gathered data and optimize its quality. Kernel principal component analysis (Kernel-PCA) extracts the relevant features from the processed data. We obtained a dataset that contains various health data gathered from numerous sensing devices to train our recommended model. Our proposed methodology is implemented using Python software. During the evaluation phase, we assess the effectiveness of our model across different parameters. We conduct comparative analyses against conventional methods to ascertain the superiority of our approach. Experimental findings demonstrate the superior performance of our recognition method over traditional approaches. The proposed SF-IIAdaboost algorithm, integrated with IoT device data, presents a promising avenue for predicting cardiovascular disease. The SF-IIAdaboost model demonstrated notable enhancements, attaining 95.37 % accuracy, 93.51 % precision, 94.3 % sensitivity, 96.31 % specificity, and 95.72 % F-measure. Future developments are predicted to involve computing on the edge, where immediate evaluations can be performed in the edge layer to avoid the basic constraints of the clouds, such as high latency, utilization of bandwidth and performing the growth of IoT data. Edge computing can revolutionize the healthcare industry's efficacy by enabling providers to make flexible decisions, operate quickly, and accurately anticipate diseases. It can improve the average level of service standards. © 2024 Elsevier Ltd","39503111","Article","Final","","Scopus","2-s2.0-85207645171"
"Masud M.M.; Adel Serhani M.; Navaz A.N.","Masud, Mohammad M. (14037743900); Adel Serhani, Mohamed (15925757100); Navaz, Alramzana Nujum (57189071971)","14037743900; 15925757100; 57189071971","Resource-Aware Mobile-Based Health Monitoring","2017","IEEE Journal of Biomedical and Health Informatics","21","2","7397814","349","360","17","10.1109/JBHI.2016.2525006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015806798&doi=10.1109%2FJBHI.2016.2525006&partnerID=40&md5=a1e95ec7cc550aef13c9cbcb4c9a4ddb","Monitoring heart diseases often requires frequent measurements of electrocardiogram (ECG) signals at different periods of the day, and at different situations (e.g., traveling, and exercising). This can only be implemented using mobile devices in order to cope with mobility of patients under monitoring, thus supporting continuous monitoring practices. However, these devices are energy-aware, have limited computing resources (e.g., CPU speed and memory), and might lose network connectivity, which makes it very challenging to maintain a continuity of the monitoring episode. In this paper, we propose a mobile monitoring solution to cope with these challenges by compromising on the fly resources availability, battery level, and network intermittence. In order to solve this problem, first we divide the whole process into several subtasks such that each subtask can be executed sequentially either in the server or in the mobile or in parallel in both devices. Then, we developed a mathematical model that considers all the constraints and finds a dynamic programing solution to obtain the best execution path (i.e., which substep should be done where). The solution guarantees an optimum execution time, while considering device battery availability, execution and transmission time, and network availability. We conducted a series of experiments to evaluate our proposed approach using some key monitoring tasks starting from preprocessing to classification and prediction. The results we have obtained proved that our approach gives the best (lowest) running time for any combination of factors including processing speed, input size, and network bandwidth. Compared to several greedy but nonoptimal solutions, the execution time of our approach was at least 10 times faster and consumed 90% less energy. © 2016 IEEE.","26863682","Article","Final","","Scopus","2-s2.0-85015806798"
"Chen K.; Xu Y.","Chen, Kehan (58899900000); Xu, Ying (57219032907)","58899900000; 57219032907","A WeChat platform program (WCPP) for full-process management of patients with cardiac valve interventional surgery based on psycho-cardiology: protocol of a mixed-method study","2024","Trials","25","1","694","","","2","10.1186/s13063-024-08553-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206813088&doi=10.1186%2Fs13063-024-08553-4&partnerID=40&md5=13b57e011cb60e1ce742bdadffe313c9","Background: Valvular heart disease is the third most common cardiovascular disease; it significantly diminishes patients’ quality of life and imposes burdens on individuals, families, and healthcare systems. In recent years, psycho-cardiology has emerged as a prominent field in which to explore the link between mental illness and heart disease. This mixed-method study aims to assess the effectiveness of the WCPP, which includes hospital-to-home transitional care, remote intelligent monitoring, and decision aids, in improving the physical and mental health of patients. Methods: A mixed-method study was conducted at a cardiac valve interventional surgery (CVIS) center in Southwest China. A total of 154 CVIS patients participated, with the intervention group receiving the WCPP and the control group following the traditional CVIS management program. Both groups were followed up at 1, 3, 6, and 12 months. The primary outcome is measured via the Chinese version of the 36-item Short Form Health Survey (SF-36). The Secondary outcomes included the 6-min walk test (6MWT), modified Barthel index (MBI), major adverse cardiovascular events (MACE), patient satisfaction, and length of hospital stay (LOS). Additionally, qualitative research will assess the psychological state and experiences of the patients. Discussion: Our study is one of the few involving patients with CVIS and the first to apply psycho-cardiology through a full-process management platform. The study population is predominantly from Southwest China and includes a diverse range of demographic and socioeconomic backgrounds. Upon completion, this study will provide valuable insights into the use of a remote, full-process management platform for CVIS patients. Trial registration: Chinese Clinical Trial Registry ChiCTR2400081052. Registered on 21 February 2024. The trial complies with the SPIRIT and CONSORT guidelines. © The Author(s) 2024.","39425112","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85206813088"
"Matsumoto A.; Mineharu Y.; Kohjitani H.; Koshimizu H.; Okuno Y.","Matsumoto, Asami (60177957400); Mineharu, Yohei (13105666300); Kohjitani, Hirohiko (57191646914); Koshimizu, Hiroshi (57214378260); Okuno, Yasushi (7202193433)","60177957400; 13105666300; 57191646914; 57214378260; 7202193433","Predicting measurement continuity in home blood pressure monitoring using machine learning","2026","Hypertension Research","49","3","","852","862","1","10.1038/s41440-025-02444-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021273274&doi=10.1038%2Fs41440-025-02444-0&partnerID=40&md5=fef3f29eec8c3e01bf52950f0be6ad85","Hypertension is a leading risk factor for cardiovascular diseases, thereby necessitating effective management through regular blood pressure monitoring. Although home monitoring is beneficial for managing hypertension, maintaining consistent measurement frequency remains challenging. This study aimed to develop a model to predict measurement inactivity and to identify clinically relevant risk factors for declining adherence using machine learning, thereby allowing for targeted interventions. Using a large-scale dataset (>199 million measurement records) from 295,758 health app users, we employed a LightGBM (Light Gradient Boosting Machine) model to predict future inactivity according to 2-week measurement patterns and users’ demographics. The model demonstrated high predictive accuracy, with areas under the receiver operating characteristic curve of 0.930 and 0.851 for 28- and 56-day predictions, respectively. SHAP (SHapley Additive exPlanations) analysis revealed elevated dropout risks among both younger and older participants, women, and users who did not report sex information. The maximum systolic blood pressure (SBP) recorded during the 2-week period was also identified as a significant predictor of dropout, showing a U-shaped association wherein both low and high extremes increased the risk. This maximum SBP value, which is rarely used in routine clinical assessments, offered unique insights into dropout behavior, further supported by descriptive statistics. Additionally, a reduction in weekday measurement frequency showed to be a major predictor of future discontinuation. Therefore, our model can identify dropout factors that are difficult to detect by conventional methods, and through accurate prediction, it supports early clinical interventions to improve monitoring adherence and blood pressure control. © The Author(s) 2025.","41203852","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105021273274"
"Kasimovskaya N.; Krivetskaya M.; Geraskina N.; Ulianova N.; Chalova E.; Shushpanova A.","Kasimovskaya, Nataliya (57202926192); Krivetskaya, Mariya (57224528949); Geraskina, Natalia (57222372994); Ulianova, Nina (57216759179); Chalova, Ekaterina (59297208800); Shushpanova, Anastasia (59895343600)","57202926192; 57224528949; 57222372994; 57216759179; 59297208800; 59895343600","Usefulness of Digital Smart Care in the Management of Systemic Hypertension","2025","American Journal of Cardiology","250","","","1","8","0","10.1016/j.amjcard.2025.04.010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004994450&doi=10.1016%2Fj.amjcard.2025.04.010&partnerID=40&md5=783df977a488d1b2a6249f91785f799a","The study aims to determine the effectiveness of a digital smart care model for patients with Systemic Hypertension (SH) compared to traditional care methods. Conducted from January 2022 to December 2024 in Moscow, Russia, the study involved 3 medical organizations and 800 participants randomly divided into 2 groups: 1 utilizing the digital smart care model and a control group following traditional care methods. Patients were surveyed using the SF-36 and EQ-5D questionnaires, along with patient satisfaction surveys and physician satisfaction assessments. The study revealed a statistically significant improvement in health indicators for the group using the digital smart care model compared to traditional methods. Specifically, average blood pressure levels decreased by 10% in the digital care model group, while patient satisfaction increased by 15%. These results indicate the effectiveness of the digital smart care model in enhancing the health and satisfaction of patients with SH. In conclusion, this highlights the potential of digital technologies in medical practice to improve care quality and enhance treatment outcomes for patients with SH. © 2025 Elsevier Inc.","40268130","Article","Final","","Scopus","2-s2.0-105004994450"
"Nalluri M.R.; Kannan K.; Manisha M.; Roy D.S.","Nalluri, MadhuSudana Rao (54416213900); Kannan, K. (22734092100); Manisha, M. (56878961800); Roy, Diptendu Sinha (36806630100)","54416213900; 22734092100; 56878961800; 36806630100","Hybrid Disease Diagnosis Using Multiobjective Optimization with Evolutionary Parameter Optimization","2017","Journal of Healthcare Engineering","2017","","5907264","","","48","10.1155/2017/5907264","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85024487680&doi=10.1155%2F2017%2F5907264&partnerID=40&md5=ab2ea267cc32602ca739e1397acaf357","With the widespread adoption of e-Healthcare and telemedicine applications, accurate, intelligent disease diagnosis systems have been profoundly coveted. In recent years, numerous individual machine learning-based classifiers have been proposed and tested, and the fact that a single classifier cannot effectively classify and diagnose all diseases has been almost accorded with. This has seen a number of recent research attempts to arrive at a consensus using ensemble classification techniques. In this paper, a hybrid system is proposed to diagnose ailments using optimizing individual classifier parameters for two classifier techniques, namely, support vector machine (SVM) and multilayer perceptron (MLP) technique. We employ three recent evolutionary algorithms to optimize the parameters of the classifiers above, leading to six alternative hybrid disease diagnosis systems, also referred to as hybrid intelligent systems (HISs). Multiple objectives, namely, prediction accuracy, sensitivity, and specificity, have been considered to assess the efficacy of the proposed hybrid systems with existing ones. The proposed model is evaluated on 11 benchmark datasets, and the obtained results demonstrate that our proposed hybrid diagnosis systems perform better in terms of disease prediction accuracy, sensitivity, and specificity. Pertinent statistical tests were carried out to substantiate the efficacy of the obtained results. © 2017 MadhuSudana Rao Nalluri et al.","29065626","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85024487680"
"Kurniawan A.; Gultom W.S.T.R.; Fandiantoro D.H.; Yuniarno E.M.; Setijadi E.; Yusuf M.; Purnama I.K.E.","Kurniawan, Arief (36999949200); Gultom, Winnona S. T. R. (58569632300); Fandiantoro, Dion Hayu (57213199236); Yuniarno, Eko Mulyanto (56968173800); Setijadi, Eko (55320560100); Yusuf, Mochamad (57196652191); Purnama, I Ketut Eddy (35794232900)","36999949200; 58569632300; 57213199236; 56968173800; 55320560100; 57196652191; 35794232900","Arrhythmia Analysis in the Long-term Electrocardiogram Monitoring System","2023","International Journal of Intelligent Engineering and Systems","16","5","","289","300","2","10.22266/ijies2023.1031.25","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85170431319&doi=10.22266%2Fijies2023.1031.25&partnerID=40&md5=fb05404672b6e4e8a9e982f375968c38","Cardiovascular disease (CVD) is dangerous and has a high mortality rate. One of the signs of CVD is arrhythmia. The method to find out the symptoms of arrhythmia is an electrocardiogram (ECG) long-term monitoring. The duration of ECG analysis on long-term monitoring is 6 hours, 12 hours, or 24 hours. The device used for longterm ECG is a Holter device. Arrhythmia analysis has followed: detect QRS complex and continue arrhythmia classification. Holter data is stored in local memory or on the server. Storage on local storage makes it difficult for cardiologists to perform analysis. However, using server storage causes access times to slow if patient data increases. Because of this, the cardiologist needs a powerful processing unit to analyze arrhythmia. This study proposes Arrhythmia analysis in the long-term ECG monitoring system. ECG acquisition is sent and stored in the processing unit. We use a single-board computer (SBC) Raspberry Pi as a processing unit. Besides storing data, SBC is also analyzing arrhythmias. The analysis steps are detecting R-peak using the Pan-Tompkins (PTK) algorithm, removing P and T waves using the Gaussian filter, and arrhythmia classification using the multi-layer perceptron (MLP). MLP is a low computational deep learning, which is suitable for SBC. The total storage delay consists of sending and storing data in the database. In the experiment, the propagation data to the broker is 0.023 s., and the storage time to the SQLite database is 15.16 s. The limited recording time for acquisition data is 21 hours and 36 minutes. The success rate of the device in detecting the QRS complex has a precision (+P) of 98.61% and a sensitivity (Se) of 99.8%. Our classification has good in Acc, Se, Spe, +P, and F1-scores are 99.77, 99.55, 99.55,99.85, and 99.55, respectively. The method is superior to several other arrhythmia classification studies. © (2023), (Intelligent Network and Systems Society). All Rights Reserved.","","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85170431319"
"Schöneburg C.; Uphoff I.; Ludwig V.; Oberhoffer-Fritz R.; Ewert P.; Müller J.","Schöneburg, Charlotte (59233454300); Uphoff, Isabel (60045451500); Ludwig, Viktoria (60212674400); Oberhoffer-Fritz, Renate (6701686659); Ewert, Peter (7004344110); Müller, Jan (35208780300)","59233454300; 60045451500; 60212674400; 6701686659; 7004344110; 35208780300","Sleep Stage Monitoring in Congenital Heart Disease (CHD) Using a Digital Health Application Programming Interface (API)","2025","Journal of Clinical Medicine","14","22","8097","","","0","10.3390/jcm14228097","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023057878&doi=10.3390%2Fjcm14228097&partnerID=40&md5=3b8bdb6e93dbf3304715ba61834dbde3","Background: Adults with congenital heart disease (CHD) are living longer but face increasing comorbidities. Sleep is a key health determinant, yet objective data in CHD remain limited. This study compared sleep characteristics of adults with CHD and controls using wearable technology and a Health Application Programming Interface (API). Methods: A total of 175 CHD patients (33.1 ± 10.3 years, 49.2% women) and 52 controls (34.4 ± 12.4 years, 40.4% women) completed seven continuous days of wrist-worn Garmin Vivosmart® 5 during routine follow-up at the TUM Klinikum Deutsches Herzzentrum. Sleep duration, phases, Sleep Scores, and weekday-weekend differences were analyzed, and multivariate models examined clinical and demographic predictors. Results: Total sleep duration and rapid eye movement (REM) sleep did not differ between groups. CHD patients had more deep sleep (83 ± 19 vs. 75 ± 16 min, p = 0.004) but lower Sleep Scores (74 ± 9 vs. 77 ± 9, p = 0.041). Within CHDs, deep sleep was higher on weekends than on weekdays (p = 0.033). Multivariate analyses showed no overall group effect, but age (p = 0.016), sex (p = 0.013), and body mass index (BMI; p < 0.001) significantly predicted sleep outcomes. Regression analyses in CHDs revealed female sex associated with longer REM sleep (p < 0.001), while higher BMI consistently predicted poorer outcomes. Disease severity was linked to lower Sleep Scores. Conclusions: Sleep in CHDs is broadly comparable to controls, but BMI, sex, and disease severity significantly shape outcomes. The additional variability between weekends and weekdays and a higher risk of sleep-disordered breathing, according to the literature, underscores that sleep is an underestimated target for prevention and clinical care in CHD. © 2025 by the authors.","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105023057878"
"Akhtar Z.B.","Akhtar, Zarif Bin (57216313314)","57216313314","Artificial intelligence within medical diagnostics: A multi-disease perspective","2025","Artificial Intelligence in Health","2","3","","44","62","9","10.36922/aih.5173","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021446341&doi=10.36922%2Faih.5173&partnerID=40&md5=b2911a0e851d512d3b268d21853bee4e","Artificial intelligence (AI) has become a transformative technology in medical diagnostics, enabling enhanced analysis of complex clinical data and supporting precise, efficient decision-making across diverse disease areas. This study explores the multi-disease application of AI in diagnosing cancer, cardiovascular diseases, neurological disorders, and infectious diseases, focusing on its role in improving diagnostic accuracy, speeding diagnostic processes, and facilitating early disease detection. By employing machine learning, deep learning, and neural network models, this study critically examines the performance of specific models – such as recurrent neural networks and support vector machines – in diverse healthcare contexts. Challenges addressed include data privacy, annotated dataset needs, overfitting risks, and ethical concerns such as AI bias and transparency, all of which are fundamental to ensuring patient safety and health equity. In addition, this study integrates security considerations, such as fault detection in cryptographic architectures, providing insights into the resilience of AI systems in healthcare. Future research directions, including the potential of AI in real-time patient monitoring, personalized medicine, and multispectral imaging, are proposed to expand AI’s utility in diagnostics. A comparative evaluation with traditional clinical diagnostics underscores AI’s validation potential, emphasizing its need for robust regulatory frameworks, particularly concerning global health standards (e.g., TRIPOD-AI and CONSORT-AI) and data privacy regulations such as Health Insurance Portability and Accountability Act and General Data Protection Regulation. Ultimately, AI-driven diagnostic systems show strong promise to revolutionize medical practice and improve patient outcomes, contingent on addressing the technical, ethical, and regulatory challenges involved. This research supports AI’s growing role in healthcare, providing a foundational understanding of both its current contributions and future potential across disease-specific applications. © 2025 Author(s).","","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105021446341"
